2026/03/02 17:24:25.113, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:25.313, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:25.514, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:25.714, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:25.914, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:26.115, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:26.315, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:26.516, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:26.716, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:26.916, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:27.117, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:27.317, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:27.517, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:27.718, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:27.918, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:28.119, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:28.319, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:28.519, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:28.720, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:24:28.920, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:29.120, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:29.321, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:29.521, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:29.721, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:29.922, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:30.122, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:30.322, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:30.523, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:30.723, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:30.924, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:31.124, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:31.324, P0, 0 %, 28.15 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:31.525, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:31.725, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:31.925, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:32.126, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:32.326, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:32.526, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:32.727, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:32.927, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:33.128, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:33.328, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:33.528, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:33.729, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:24:33.929, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
