2026/03/02 17:34:48.626, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.727, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.827, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:48.927, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.028, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.128, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.228, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.329, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.429, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.529, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.630, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.730, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.830, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:49.931, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.031, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.132, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.232, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.332, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.433, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.533, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.633, P0, 28.15 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.734, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.834, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:50.934, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.034, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.135, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.235, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.335, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.436, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.536, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.637, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.737, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.837, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:51.938, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.038, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.138, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.238, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.339, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.439, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.539, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.640, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.740, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.840, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:52.941, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.041, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.142, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.242, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.342, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.442, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.543, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.643, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.744, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.844, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:53.944, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.045, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.145, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.245, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.346, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.446, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.546, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.647, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.747, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.847, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:54.948, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.048, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.148, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.249, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.349, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.449, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.550, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.650, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.750, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.851, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:55.951, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.052, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.152, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:34:56.252, P0, 27.62 W, 210 MHz, 1215 MHz, 31
