2026/03/02 17:23:22.272, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:22.472, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:22.673, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:22.873, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:23.073, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:23.274, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:23.474, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:23.674, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:23.875, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:24.075, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:24.276, P0, 0 %, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:24.476, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:24.676, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:24.877, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:25.077, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:25.278, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:25.478, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:25.678, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:25.879, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:26.079, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:26.279, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:26.480, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:26.680, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:26.881, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:27.081, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:27.281, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:27.482, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:27.682, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:27.882, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:28.083, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:28.283, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:28.484, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:28.684, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:28.884, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:29.085, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:29.285, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:29.485, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:29.686, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:29.886, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:30.086, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:30.287, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:30.487, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:30.688, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:30.888, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:31.088, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:31.289, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:31.489, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:31.689, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:31.890, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:32.090, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:32.291, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:32.491, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:32.691, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:32.892, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:33.092, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:33.292, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:33.493, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:33.693, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:33.893, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:34.094, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:34.294, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:34.495, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:34.695, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:34.895, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:35.096, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:35.296, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:35.497, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:35.697, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:35.897, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:36.098, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:36.298, P0, 0 %, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:23:36.498, P0, 0 %, 27.64 W, 210 MHz, 1215 MHz, 30
